day_of_year,mean_air_temperature,std_air_temperature,mean_daily_max_air_temperature,std_daily_max_air_temperature
150,17.707761335886335,1.9652803245109691,22.164285714285715,3.0973045116835447
151,17.722655122655123,2.5495668778417886,21.46,3.3292892134307976
152,17.586669985107484,3.1269656175809644,21.12666666666667,4.4990072979121365
153,18.052210324397823,1.6789517794894129,22.251666666666665,2.7088921474777594
154,18.074291472416473,1.7154912099989903,21.186666666666667,2.6245050326998163
155,17.988706455581454,2.0362740545214435,20.996666666666666,2.92641532709673
156,17.527599206349205,2.0959867424376943,20.43857142857143,2.951143442641787
157,18.186616022866023,2.1153318653282547,21.52285714285714,2.841206986978797
158,18.43403665778666,1.3338055501200883,21.43857142857143,1.8871709741606053
159,17.753247724497726,2.4946942699861507,20.782857142857143,3.323470647208598
160,17.495877733377732,2.0567391106845125,20.334285714285716,2.1211935095040015
161,17.76006098068598,2.3125843852014256,21.2,3.9684253804248346
162,18.785388916638915,3.0585989038117622,23.139999999999997,4.4961316706698
163,19.389599775224774,3.032643564985612,23.57428571428571,3.886660336513672
164,20.654422660672658,3.1016595176532222,24.995714285714286,3.589711488605814
165,20.50038926351427,3.0742558983938633,24.71857142857143,3.906155094085183
166,20.36936410811411,3.3513206146888423,24.255714285714284,4.3900032541478335
167,20.803501706626708,3.089293489661654,24.77857142857143,4.007844094486997
168,21.50421071983572,2.6886792156218653,26.03857142857143,3.6662988993053505
169,22.946378609816108,1.8068028550890842,27.713333333333335,2.4796666442622226
170,23.77164351851852,1.975714206436346,28.628333333333334,2.176422906207953
171,22.55307525807526,3.2698762244577586,26.69142857142857,3.9624547466245748
172,22.212716866466867,2.8324100027907844,25.94,2.748417726620173
173,21.609770091020092,3.186424851810641,25.33142857142857,4.699849035062824
174,21.60155566655567,3.9763462341756894,25.524285714285714,5.115130683058047
175,21.58714951714952,3.7572078854750357,25.305714285714284,5.16728122305098
176,21.900701243201244,2.7557426885574827,26.568571428571428,3.633031005333466
177,22.770635614385615,2.887520049265718,27.148571428571426,2.625886698313725
178,22.43639901764902,2.544658706612083,25.400000000000002,3.1418678096529344
179,22.91161560661561,2.9432383859401177,27.057142857142857,4.466235231473723
180,22.968002067377064,2.9919036046552527,26.759999999999998,3.4958928282581363
181,21.32304410866911,3.272514741723496,24.47714285714286,4.190153991942356
182,20.673207718207717,2.926593637457138,23.798333333333332,4.298606363307376
183,21.520502622377624,2.1718086640472802,25.562,2.9987280636963396
184,21.290520833333332,2.8055188809999794,24.478333333333335,4.295199258086482
185,20.675972141284642,2.9240411564712567,23.400000000000002,3.869227313043263
186,21.049610690235692,1.9334663643906678,24.67833333333333,2.8224770444888776
187,20.950969955969956,1.1492328843553175,24.298333333333336,1.4718344562710395
188,20.271406177156177,1.5924644355845308,23.650000000000002,2.268312147831511
189,19.084877865190368,2.7961334628175787,22.103333333333335,3.387445448515247
190,21.753443196588357,3.826079651218128,26.37,3.758563555402516
191,22.85654793123543,3.0657569408562884,27.14333333333333,2.8162788687675557
192,22.886390207015207,2.392268706112913,27.63,3.0561031832493266
193,22.650511294261293,2.330806015495,26.794285714285714,3.5688600287433405
194,21.32736534299034,3.1287554452841846,24.622857142857146,3.757626530518585
195,21.942914585414588,3.8060538221705085,26.58285714285714,5.189404957172238
196,22.1777176989677,3.4315021661011023,25.62857142857143,4.603004194984794
197,21.798967490842493,2.289838742316629,25.62142857142857,2.966757087974616
198,22.471319375069378,2.0939470333045183,26.521428571428572,2.7609927476146967
199,23.256359890109888,2.145509043569507,27.37285714285714,3.8940455154235787
200,23.462369782994784,1.9347264619963962,27.332857142857144,2.726289996104071
201,22.75048819236319,1.253523484972089,27.5,1.421888415687626
202,22.49309475246975,1.501660855236451,26.49285714285714,1.7359312033767758
203,22.517875041625043,1.3243558977358374,26.287142857142857,2.215654262181672
204,22.660260434010436,1.4309663099504104,26.400000000000002,1.9545587737389734
205,22.52252282439782,1.6572085889850552,26.28142857142857,2.5313200019714905
206,21.624844530469527,2.4841289003766667,24.755714285714284,3.6864610723694384
207,20.760878080253082,2.0368503864624907,23.615714285714287,2.4451097940096482
208,21.851936605061606,1.964303064394821,25.481428571428573,1.8732985931366144
209,22.407639235764236,2.923098751300194,25.892857142857142,3.697150769109073
210,22.604612956487955,2.580996600607146,25.81875,3.313368754002488
211,22.60289633109946,2.212534259424606,26.71125,2.980831319807087
212,22.78437597125097,2.488878248810949,26.40125,2.830115785112485
213,22.902367120726495,3.533441861079808,26.205,4.421638351820026
214,22.69548738587801,3.28280481464364,26.7425,4.059186230901812
215,21.892010732323232,3.125725939007277,25.8825,3.5470943843417206
216,21.145807473776223,3.910724964735055,24.855,5.545299167506009
217,21.65371904137529,3.2585692890381317,25.6925,4.179770157727404
218,21.291459425990677,3.0139395136034093,24.79,3.336302487142659
219,21.00415051961927,2.9106573076115305,24.8675,3.4275761948392316
220,21.97489698669386,2.5761967546793714,26.23,3.200522278807453
221,23.042995580808082,2.535833518403753,27.3775,2.9591106289366262
222,23.4240735479798,2.36564615575945,27.89375,3.0845093960443224
223,23.659296255827506,1.7781885451327537,28.07625,2.081695308430813
224,24.26496750356125,1.9778662356059762,28.4275,3.009668942401663
