Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-09-27T09:46:00.000+00:00,S3A,5.67018,3.56786,8.22921,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160927T094640_sui_geneva.tif
2016-09-28T09:20:00.000+00:00,S3A,6.43443,3.43138,10.0134,27,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160928T092029_sui_geneva.tif
2016-09-30T10:09:00.000+00:00,S3A,5.95171,2.02663,11.11353,86,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160930T100906_sui_geneva.tif
2016-10-05T09:39:00.000+00:00,S3A,2.6571,2.19455,4.42944,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161005T093911_sui_geneva.tif
2016-10-04T10:05:00.000+00:00,S3A,2.45471,1.67273,10.892,63,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161004T100522_sui_geneva.tif
2016-10-09T09:35:00.000+00:00,S3A,2.15012,1.66486,2.67266,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161009T093527_sui_geneva.tif
2016-10-08T10:01:00.000+00:00,S3A,2.01052,1.33366,9.40423,33,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161008T100137_sui_geneva.tif
2016-10-11T10:24:00.000+00:00,S3A,2.3567,0.56657,11.43564,10,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161011T102404_sui_geneva.tif
2016-10-12T09:57:00.000+00:00,S3A,2.13346,1.28549,9.18351,20,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161012T095753_sui_geneva.tif
2016-10-16T09:54:00.000+00:00,S3A,2.30824,1.633,9.43323,30,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161016T095409_sui_geneva.tif
2016-10-15T10:20:00.000+00:00,S3A,2.1505,1.26598,8.82623,44,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161015T102020_sui_geneva.tif
2016-10-20T09:50:00.000+00:00,S3A,2.4274,1.4418,9.49304,59,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161020T095024_sui_geneva.tif
2016-10-27T10:09:00.000+00:00,S3A,2.43785,1.15686,10.39052,36,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161027T100906_sui_geneva.tif
2016-10-28T09:42:00.000+00:00,S3A,2.55927,1.38077,9.8897,23,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161028T094255_sui_geneva.tif
2016-11-01T09:39:00.000+00:00,S3A,3.92788,2.22925,8.74832,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161101T093911_sui_geneva.tif
2016-10-31T10:05:00.000+00:00,S3A,3.4603,2.19511,9.2942,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161031T100522_sui_geneva.tif
2016-11-03T10:27:00.000+00:00,S3A,2.62437,1.77306,6.48061,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161103T102748_sui_geneva.tif
2016-11-04T10:01:00.000+00:00,S3A,2.60688,1.50899,9.15885,7,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161104T100137_sui_geneva.tif
2016-11-07T10:24:00.000+00:00,S3A,2.3694,0.00054,10.87201,7,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161107T102404_sui_geneva.tif
